UNIT,MtCH4,MtN
YEAR,CH4,N2O
1765,262.8469,11.1
1766,262.2474,11.1
1767,262.9983,11.1
1768,262.8107,11.1
1769,262.5772,11.1
1770,262.2836,11.1
1771,261.9807,11.1
1772,261.7022,11.1
1773,261.4171,11.1
1774,261.1036,11.1
1775,260.7635,11.1
1776,260.4022,11.1
1777,260.0327,11.1
1778,259.6677,11.1
1779,259.3058,11.1
1780,258.9219,11.1
1781,258.4967,11.1
1782,258.0429,11.1
1783,257.5655,11.1
1784,257.0361,11.1
1785,256.4916,11.1
1786,256.0434,11.1
1787,255.7138,11.1
1788,255.4449,11.1
1789,255.1975,11.1
1790,254.8941,11.1
1791,254.5043,11.1
1792,254.1511,11.1
1793,253.8922,11.1
1794,253.6677,11.1
1795,253.4273,11.1
1796,253.152,11.1
1797,252.8626,11.1
1798,252.5786,11.1
1799,252.2959,11.1
1800,252.0225,11.1
1801,251.7938,11.1
1802,251.6082,11.1
1803,251.4142,11.1
1804,251.1887,11.1
1805,250.9407,11.1
1806,250.6697,11.1
1807,250.3683,11.1
1808,250.0354,11.1
1809,249.352,11.1
1810,247.9683,11.1
1811,246.5404,11.1
1812,245.8765,11.1
1813,245.7259,11.1
1814,245.6575,11.1
1815,245.1747,11.1
1816,243.7391,11.1
1817,242.1855,11.1
1818,241.6436,11.1
1819,241.8706,11.1
1820,242.2529,11.1
1821,242.5426,11.1
1822,242.6802,11.1
1823,242.6936,11.1
1824,242.6082,11.1
1825,242.4465,11.1
1826,242.2269,11.1
1827,241.963,11.1
1828,241.6633,11.1
1829,241.3274,11.1
1830,240.9307,11.1
1831,240.3429,11.1
1832,239.4847,11.1
1833,238.6189,11.1
1834,238.0225,11.1
1835,237.3407,11.1
1836,236.2874,11.1
1837,235.4098,11.1
1838,235.0306,11.1
1839,234.8858,11.1
1840,234.7599,11.1
1841,234.5716,11.1
1842,234.3174,11.1
1843,233.9945,11.1
1844,233.5769,11.1
1845,233.0861,11.1
1846,232.5612,11.1
1847,231.9967,11.1
1848,231.3757,11.1
1849,230.6872,11.1
1850,229.885,11.1
1851,230.371,11.1
1852,230.9986,11.1
1853,231.0065,11.1
1854,231.0058,11.1
1855,230.2558,11.1
1856,230.079,11.1
1857,230.3453,11.1
1858,229.858,11.1
1859,229.7141,11.1
1860,229.8494,11.1
1861,231.0958,11.1
1862,232.2746,11.1
1863,233.3532,11.1
1864,234.4269,11.1
1865,236.2841,11.1
1866,237.476,11.1
1867,237.9122,11.1
1868,239.0088,11.1
1869,240.1103,11.1
1870,241.9633,11.1
1871,239.7593,11.1
1872,236.796,11.1
1873,234.4578,11.1
1874,232.0776,11.1
1875,230.4307,11.1
1876,228.1015,11.1
1877,225.0077,11.1
1878,222.6021,11.1
1879,220.2352,11.1
1880,218.6335,11.1
1881,217.0057,11.1
1882,214.717,11.1
1883,212.3507,11.1
1884,208.5814,11.1
1885,204.3421,11.1
1886,202.1761,11.1
1887,200.5253,11.1
1888,198.2854,11.1
1889,196.0995,11.1
1890,193.8308,11.1
1891,193.7683,11.1
1892,193.8393,11.1
1893,192.6296,11.1
1894,191.435,11.1
1895,191.68,11.1
1896,191.9059,11.1
1897,190.5386,11.1
1898,189.7557,11.1
1899,189.7909,11.1
1900,189.9647,11.08
1901,191.9473,11.06
1902,193.3477,11.04
1903,193.7775,11.02
1904,194.0434,11
1905,193.988,10.98
1906,194.2476,10.96
1907,194.5504,10.94
1908,195.5281,10.92
1909,196.5514,10.9
1910,196.1852,10.88
1911,195.6323,10.86
1912,196.4616,10.84
1913,197.8766,10.82
1914,198.6255,10.8
1915,198.9356,10.78
1916,199.3592,10.76
1917,199.8042,10.74
1918,200.9725,10.72
1919,202.1708,10.7
1920,201.9042,10.68
1921,201.6259,10.66
1922,202.736,10.64
1923,203.987,10.62
1924,204.5683,10.6
1925,205.1372,10.58
1926,205.7239,10.56
1927,206.3331,10.54
1928,206.9382,10.52
1929,206.7421,10.5
1930,206.4269,10.48
1931,206.7278,10.46
1932,207.0488,10.44
1933,207.3302,10.42
1934,206.8831,10.4
1935,206.4249,10.38
1936,206.6794,10.36
1937,206.9682,10.34
1938,207.2445,10.32
1939,207.4889,10.3
1940,208.4601,10.28
1941,209.0731,10.26
1942,208.2577,10.24
1943,207.3306,10.22
1944,207.7969,10.2
1945,208.363,10.18
1946,209.03,10.16
1947,210.5206,10.14
1948,211.4005,10.12
1949,212.3377,10.1
1950,214.0399,10.08
1951,212.2175,10.06
1952,211.216,10.04
1953,210.3755,10.02
1954,208.2406,10
1955,206.1886,9.98
1956,205.0045,9.96
1957,204.0254,9.94
1958,202.4822,9.92
1959,200.9837,9.9
1960,200.2373,9.88
1961,201.5949,9.86
1962,202.931,9.84
1963,203.5612,9.82
1964,203.7504,9.8
1965,204.481,9.78
1966,205.1848,9.76
1967,206.5128,9.74
1968,208.7945,9.72
1969,210.9252,9.7
1970,212.3662,9.68
1971,212.4313,9.66
1972,213.3917,9.64
1973,214.3732,9.62
1974,214.5245,9.6
1975,214.4177,9.58
1976,214.1729,9.56
1977,214.8669,9.54
1978,215.8663,9.52
1979,216.1983,9.5
1980,219.4777,9.48
1981,225.1742,9.46
1982,228.1047,9.44
1983,228.9286,9.42
1984,224.0928,9.4
1985,214.4078,9.38
1986,209.3786,9.36
1987,207.3871,9.34
1988,204.6335,9.32
1989,203.0108,9.3
1990,202.0131,9.28
1991,209.1323,9.26
1992,208.1963,9.24
1993,202.24,9.22
1994,207.8294,9.2
1995,215.4566,9.18
1996,216.6695,9.16
1997,225.7508,9.14
1998,240.7374,9.12
1999,243.4043,9.1
2000,235.7988,9.1
2001,227.5695,9.1
2002,230.2009,9.1
2003,231.1236,9.1
2004,222.3516,9.1
2005,214.8335,9.1
2006,219.1301,9.1
2007,223.6898,9.1
2008,224.1655,9.1
2009,224.564,9.1
2010,224.1925,9.1
2011,227.0475,9.1
2012,228.7041,9.1
2013,229.0803,9.1
2014,229.5206,9.1
2015,230.0101,9.1
2016,230.4611,9.1
2017,230.8334,9.1
2018,231.1694,9.1
2019,231.499,9.1
2020,231.826,9.1
2021,229.254,9.1
2022,228.0909,9.1
2023,228.5289,9.1
2024,229.0596,9.1
2025,229.6384,9.1
2026,230.2544,9.1
2027,230.8239,9.1
2028,231.3083,9.1
2029,231.7523,9.1
2030,232.1874,9.1
2031,232.3178,9.1
2032,232.4098,9.1
2033,232.5441,9.1
2034,232.8362,9.1
2035,233.2181,9.1
2036,233.6479,9.1
2037,234.1152,9.1
2038,234.5356,9.1
2039,234.8692,9.1
2040,235.1605,9.1
2041,236.1233,9.1
2042,236.752,9.1
2043,236.9291,9.1
2044,237.0837,9.1
2045,237.4153,9.1
2046,237.8472,9.1
2047,238.3335,9.1
2048,238.8615,9.1
2049,239.3423,9.1
2050,239.7335,9.1
2051,240.2909,9.1
2052,240.6336,9.1
2053,240.759,9.1
2054,240.7398,9.1
2055,240.6834,9.1
2056,240.8034,9.1
2057,241.0241,9.1
2058,241.2986,9.1
2059,241.6145,9.1
2060,241.8799,9.1
2061,243.3231,9.1
2062,244.2238,9.1
2063,244.6424,9.1
2064,245.0663,9.1
2065,245.3515,9.1
2066,245.601,9.1
2067,246.0332,9.1
2068,246.5705,9.1
2069,247.1631,9.1
